holeid,intervals,class_transitions,mean_model_score_A
SOLVE236,164,24,0.4941972600279723
SOLVE291,96,21,0.5335655809925065
SOLVE279A,163,7,0.4868311467811086
SOLVE237,154,6,0.2933065594579355
SOLVE225W1,26,2,0.7555314288752094
SOLVE225W2,18,2,0.6970792634635129
SOLVE233,10,2,0.38757709319190575
SOLVE232,14,1,0.31067382812829986
SOLVE278,24,0,0.7614423297629133
SOLVE226,21,0,0.19418713553576805
SOLVE280,18,0,0.8100474444689446
SOLVE227,15,0,0.2665407729784187
SOLVE231,14,0,0.2267398180332351
SOLVE230,11,0,0.30574327828926834
SOLVE229,7,0,0.27426261962109844
SOLVE228,6,0,0.2425019844702487
SOLVE234,6,0,0.3287001947882498
