,importance
Pb,0.29867413661737163
Mo,0.1875209925860278
As,0.13471306649624826
Au,0.12434401784239313
Fe,0.07997896808031019
S,0.07906943415479066
Zn,0.03947695017283769
Cu,0.024642695493465445
missingindicator_As,0.018079816222619723
missingindicator_Fe,0.004502694503771888
missingindicator_Zn,0.004079203416426034
missingindicator_Pb,0.0018438357076747786
missingindicator_Cu,0.000991993895134496
missingindicator_Mo,0.0009176185175079164
missingindicator_S,0.0006313800279301853
missingindicator_Au,0.0005331962654902096
